Time,Temperature,Brightness
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.06,0
07/11/2021 02:01,24.06,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.06,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.13,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:02,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.13,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24.06,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24,0
07/11/2021 02:03,24.06,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24.06,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,23.94,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:04,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,24,0
07/11/2021 02:05,24,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:05,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.94,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:06,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.88,0
07/11/2021 02:07,23.81,0
07/11/2021 02:07,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.88,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.88,0
07/11/2021 02:08,23.88,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.88,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.88,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.75,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.75,0
07/11/2021 02:08,23.81,0
07/11/2021 02:08,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.81,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:09,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.75,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.69,0
07/11/2021 02:10,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.75,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.63,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:11,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.63,0
07/11/2021 02:12,23.69,0
07/11/2021 02:12,23.63,0
